raw_sponsor,sponsor_clean,sponsor_parent,sponsor_type,match_status,confidence,decided_by,n_trials
Barts  the London NHS Trust,Barts Health NHS Trust,,hospital,accepted,0.85,model,1
"Barts and the London NHS Trust, Department of Cardiology",Barts Health NHS Trust,,hospital,accepted,0.85,model,1
Basic Pharma Technologies,Basic Pharma Technologies,,industry,accepted,0.6,model,1
Basque Health System,Basque Health Service,,public_body,accepted,0.9,model,1
"Bausch Health Americas, Inc.",Bausch Health,,industry,accepted,0.9,model,1
BauschLomb Dr Gerhard Mann chem.-Fabrik GmbH,Bausch & Lomb,,industry,accepted,0.85,model,1
"Bavarian Nordic, Inc.",Bavarian Nordic,,industry,accepted,0.95,model,1
Baxalta Innovation GmbH,Baxalta,Takeda,industry,accepted,0.9,model,1
Baxalta US Inc.,Baxalta,Takeda,industry,accepted,0.9,model,1
"Baxter Healthcare Corporation, Baxter BioScience",Baxter,,industry,accepted,0.94,model,1
Baxter R and D Europe SCRL,Baxter,,industry,accepted,0.85,model,1
Baxter RD Europe S.C.R.L,Baxter,,industry,accepted,0.94,model,1
Baxter RD Europe S.C.R.L.,Baxter,,industry,accepted,0.94,model,1
Baxter SAS,Baxter,,industry,accepted,0.94,model,1
Bay Pharma GmbH,Bayer,,industry,accepted,0.6,model,1
Bayer - AG,Bayer,,industry,accepted,0.95,model,1
Bayer AG / Bayer AG,Bayer,,industry,accepted,0.95,model,1
"Bayer AG,",Bayer,,industry,accepted,0.95,model,1
"Bayer AG, D-51368 Leverkusen, Germany",Bayer,,industry,accepted,0.95,model,1
Bayer B.V.,Bayer,,academic,accepted,0.95,model,1
"Bayer Consumer Care, Research  Development",Bayer,,industry,accepted,0.95,model,1
Bayer HealthCare,Bayer,,industry,accepted,0.95,model,1
Bayer HealthCare AG / Bayer HealthCare A/S,Bayer,,industry,accepted,0.95,model,1
Bayer HealthCare AG D-51368 Leverkusen,Bayer,,industry,accepted,0.95,model,1
"Bayer HealthCare AG, D51368 Leverkusen",Bayer,,industry,accepted,0.95,model,1
"Bayer HealthCare AG, Leverkusen, D-51368 Germany",Bayer,,industry,accepted,0.95,model,1
"Bayer HealthCare AG, Leverkusen, Germany",Bayer,,industry,accepted,0.95,model,1
Bayer HealthCare AG/Bayer Schering Pharma AG,Bayer,,industry,accepted,0.95,model,1
Bayer HealthCare Aktiengesellschaft,Bayer,,industry,accepted,0.95,model,1
Bayer HealthCare LLC/Biological Products,Bayer,,industry,accepted,0.95,model,1
Bayer HealthCare Pharmaceuticals INC,Bayer,,industry,accepted,0.95,model,1
Bayer HealthCare Pharmaceuticals Inc,Bayer,,industry,accepted,0.95,model,1
Bayer HealthCare Pharmaceuticals Inc.,Bayer,,industry,accepted,0.95,model,1
"Bayer HealthCare Pharmaceuticals, Inc.",Bayer,,industry,accepted,0.95,model,1
"Bayer Healthcare AG, Leverkusen",Bayer,,industry,accepted,0.95,model,1
Bayer Healthcare LLC,Bayer,,industry,accepted,0.9,model,1
Bayer Healthcare LLC.,Bayer,,industry,accepted,0.9,model,1
Bayer Inc.,Bayer,,industry,accepted,0.9,model,1
Bayer Pharmaceutical,Bayer,,industry,accepted,0.9,model,1
Bayer Pharmaceuticals Corporation,Bayer,,industry,accepted,0.9,model,1
Bayer Schering Pharma AG / Biogen Idec,Bayer,,industry,accepted,0.6,model,1
Bayer Schering Pharma AG BSP,Bayer,,industry,accepted,0.9,model,1
Bayer Schering Pharma Oy,Schering,Bayer,industry,accepted,0.85,model,1
Bayer SpA,Bayer,,academic,accepted,0.9,model,1
Bayer plc,Bayer,,industry,accepted,0.9,model,1
Bayhill Therapeutics,Bayhill Therapeutics,,industry,accepted,0.9,model,1
Beacon Hospital,Beacon Hospital,,hospital,accepted,0.9,model,1
Beacon Therapeutics (USA) Inc.,Beacon Therapeutics,,industry,accepted,0.9,model,1
Beam Therapeutics Inc.,Beam Therapeutics,,industry,accepted,0.9,model,1
"Beatrix Childrens Hospital, University Medical Center Groningen",Universitair Medisch Centrum Groningen,,hospital,accepted,0.95,model,1
"Beaufour Ipsen Pharma - 24, rue Erlanger 75016 Paris FRANCE",Ipsen,,industry,accepted,0.97,model,1
Beaufour Ipsen Pharma S.A.S.,Ipsen,,industry,accepted,0.97,model,1
Beaufour Ipsen Pharma-Ipsen Biotech Department,Ipsen,,industry,accepted,0.97,model,1
Beaufour Ipsen pharma,Ipsen,,industry,accepted,0.97,model,1
Beaumont Hospital/RCSI,Beaumont Hospital,,hospital,accepted,0.85,model,1
Beckley Canopy Therapeutics Ltd.,Beckley Canopy Therapeutics,,industry,accepted,0.9,model,1
Beckley Psytech Limited,Beckley Psytech,,industry,accepted,0.9,model,1
Becro (Cyprus) Limited,BECRO Cyprus,,industry,accepted,0.95,model,1
"Becton, Dickinson and Company",Becton Dickinson,,industry,accepted,0.9,model,1
Bedrocan International B.V.,Bedrocan International,,industry,accepted,0.9,model,1
Beeline Medicines Corp.,Beeline Medicines,,industry,accepted,0.6,model,1
Begoa Quintana,Begoña Quintana,,individual,accepted,0.8,model,1
"BeiGene Ltd., c/o BeiGene USA Inc.",BeiGene,,industry,accepted,0.98,model,1
"BeiGene Ltd., c/o BeiGene USA, Inc.",BeiGene,,industry,accepted,0.98,model,1
"BeiGene, Ltd",BeiGene,,industry,accepted,0.98,model,1
"BeiGene, Ltd. c/o BeiGene USA, Inc.",BeiGene,,industry,accepted,0.98,model,1
Belfast  Health and Social Care Trust,Belfast Health and Social Care Trust,,hospital,accepted,0.85,model,1
Belfast HSC Trust / Queens University Belfast,Belfast Health and Social Care Trust,,hospital,accepted,0.85,model,1
Belfast Health  Social Care Trust / South Eastern Health  Social Care Trust,Belfast Health and Social Care Trust,,hospital,accepted,0.85,model,1
"Belfast Health and Social Care Trust / Queens University Belfast, Research and Regional Services",Belfast Health and Social Care Trust,,hospital,accepted,0.85,model,1
Belfast Health and Social Care Trust BHSCT,Belfast Health and Social Care Trust,,hospital,accepted,0.85,model,1
"Belfast Health and Social Care Trust, Musgrave Park Hospital",Belfast Health and Social Care Trust,,hospital,accepted,0.85,model,1
Belgian Group of Digestive Oncology,Belgian Group of Digestive Oncology,,cooperative_group,accepted,0.8,model,1
Belgian Gynaecological Oncolgy Group,Belgian Gynaecological Oncology Group,,cooperative_group,accepted,0.7,model,1
Belgian IBD research and development,Belgian IBD Research and Development,,foundation,accepted,0.95,model,1
Belgian Society Of Medical Oncology,Belgian Society of Medical Oncology,,cooperative_group,accepted,0.95,model,1
Belgian Society of Medical Oncology,Belgian Society of Medical Oncology,,cooperative_group,accepted,0.95,model,1
Belgian Study Group for Pediatric Endocrinology,Belgian Study Group for Pediatric Endocrinology,,network,accepted,0.7,model,1
"Bellerophon Pulse Technologies, LLC",Bellerophon Pulse Technologies,,industry,accepted,0.98,model,1
Belpharma SA/NV,Belpharma,,industry,accepted,0.6,model,1
BenevolentAI Bio,BenevolentAI Bio,,industry,accepted,0.95,model,1
BenevolentAI Bio Limited,BenevolentAI Bio,,industry,accepted,0.95,model,1
BenevolentAI Cambridge Ltd.,BenevolentAI Bio,,industry,accepted,0.9,model,1
Bent Gymoese Jrgensen,Bent Gymoese Jorgensen,,individual,accepted,0.7,model,1
"Bente Langdahl, consultant, ass. professor, PhD, DMSc",Bente Langdahl,,individual,accepted,0.9,model,1
Bente Lomholt Langdahl,Bente Langdahl,,individual,accepted,0.9,model,1
"Bente Lomholt Langdahl, Dept. of Endocrinology and Internal Medicine, Aarhus University Hospital",Aarhus Universitetshospital,,hospital,accepted,0.85,model,1
Bergenbio ASA,BerGenBio,,industry,accepted,0.95,model,1
Berlin Cures GmbH,Berlin Cures,,industry,accepted,0.85,model,1
Bernardino Clavo - Hospital Dr. Negrin,Bernardino Clavo - Hospital Universitario Dr. Negrin,,individual,accepted,0.75,model,1
Bernardino Clavo - Hospital Dr. Negrn,Bernardino Clavo - Hospital Universitario Dr. Negrin,,individual,accepted,0.75,model,1
Bernhard-Nocht-Institute for Tropical Medicine,Bernhard-Nocht-Institut für Tropenmedizin,,academic,accepted,0.9,model,1
Bernhoven,Bernhoven,,hospital,accepted,0.7,model,1
Beroendcentrum Stockholm,Beroendecentrum Stockholm,,hospital,accepted,0.6,model,1
"Bert Mueller, Dep. Ophthalmology",Bert Mueller,,individual,accepted,0.4,model,1
Bertek Pharmaceuticals International Limited,Bertek Pharmaceuticals,,industry,accepted,0.7,model,1
Berufsgenossenschaftliche Unfallklinik,Berufsgenossenschaftliche Unfallklinik,,hospital,accepted,0.5,model,1
Berufsgenossenschaftliche Universittsklinik Bergmannsheil GmbH,Berufsgenossenschaftliche Universitatsklinik Bergmannsheil,,hospital,accepted,0.9,model,1
Berufsverband der niedergelassenen gynkologischen Onkologen in Deutschland e.V. BNGO e.V.,Berufsverband der niedergelassenen gynäkologischen Onkologen in Deutschland e.V. (BNGO),,network,accepted,0.8,model,1
Besancon University Hospital,Centre Hospitalier Universitaire de Besançon,,hospital,accepted,0.95,model,1
Besins Healthcare Ireland Ltd.,Besins Healthcare,,industry,accepted,0.9,model,1
Beta Innov,Beta Innov,,industry,accepted,0.6,model,1
Bethesda Diabetes Research Center,Bethesda Diabetes Research Center,,industry,accepted,0.9,model,1
Bethesda Diabetes Research Center B.V.,Bethesda Diabetes Research Center,,academic,accepted,0.9,model,1
Betsi Cadwaladr University Health Board,Betsi Cadwaladr University Health Board,,public_body,accepted,0.9,model,1
Bexel Pharmaceuticals Inc.,Bexel Pharmaceuticals,,industry,accepted,0.8,model,1
Bial  Portela  C S.A,BIAL,,industry,accepted,0.98,model,1
Bicara Therapeutics Inc.,Bicara Therapeutics,,industry,accepted,0.9,model,1
Bill  Melinda Gates Medical Research Institute,Bill & Melinda Gates Medical Research Institute,,foundation,accepted,0.9,model,1
Bio Minerals n.v.,Bio Minerals,,industry,accepted,0.9,model,1
Bio-Gels Pharmaceuticals,Bio-Gels Pharmaceuticals,,industry,accepted,0.6,model,1
Bio-Medisinsk Innovasjon AS,Bio-Medisinsk Innovasjon,,industry,accepted,0.6,model,1
Bio-Thera Solutions Ltd.,Bio-Thera Solutions,,industry,accepted,0.9,model,1
"BioAegis Therapeutics, Inc.",BioAegis Therapeutics,,industry,accepted,0.95,model,1
BioAtla,BioAtla,,industry,accepted,0.98,model,1
BioAtla Inc.,BioAtla,,industry,accepted,0.98,model,1
"BioClin Therapeutics, Inc.",BioClin Therapeutics,,industry,accepted,0.9,model,1
BioCryst Pharmaceuticals,BioCryst Pharmaceuticals,,industry,accepted,0.99,model,1
BioElectron Technology Corporation formerly Edison Pharmaceuticals Inc.,BioElectron Technology,,industry,accepted,0.9,model,1
BioGaia Pharma AB,BioGaia,,industry,accepted,0.95,model,1
BioGeneriX  AG,BioGeneriX,,industry,accepted,0.97,model,1
BioLineRx Ltd.,BioLineRx,,industry,accepted,0.95,model,1
"BioLineRx, Ltd.",BioLineRx,,industry,accepted,0.95,model,1
BioMS Technology Corp,BioMS Technology,,industry,accepted,0.95,model,1
BioMS Technology Corp.,BioMS Technology,,industry,accepted,0.95,model,1
BioMarin International Ltd,BioMarin,,industry,accepted,0.97,model,1
BioMarin International Ltd.,BioMarin,,industry,accepted,0.97,model,1
BioMimetic Therapeutic Inc,BioMimetic Therapeutics,,industry,accepted,0.8,model,1
BioNTech Cell & Gene Therapies GmbH,BioNTech,,industry,accepted,0.95,model,1
BioPartners GmbH / LG Life Science Ltd.,BioPartners / LG Life Sciences,,industry,accepted,0.8,model,1
BioTissue Technologies GmbH,BioTissue Technologies,,industry,accepted,0.8,model,1
BioVersys SAS,BioVersys,,industry,accepted,0.97,model,1
BioVex Ltd,BioVex,,industry,accepted,0.9,model,1
"BioVex, Inc.",BioVex,,industry,accepted,0.9,model,1
"BioXcel Therapeutics, Inc",BioXcel Therapeutics,,industry,accepted,0.99,model,1
"BioXcel Therapeutics, Inc.",BioXcel Therapeutics,,industry,accepted,0.99,model,1
BioXell S.p.A.,BioXell,,industry,accepted,0.98,model,1
BioXell SpA,BioXell,,industry,accepted,0.98,model,1
Bioaegis Therapeutics Inc.,BioAegis Therapeutics,,industry,accepted,0.95,model,1
Bioalliance Pharma,BioAlliance Pharma,,industry,accepted,0.95,model,1
Biocompatibles UK Limited,Biocompatibles UK,BTG,industry,accepted,0.97,model,1
Biocompatibles UK Ltd.,Biocompatibles UK,BTG,industry,accepted,0.97,model,1
Biocon Biologics UK PLC,Biocon Biologics,Biocon,industry,accepted,0.85,model,1
Biocon S.A.,Biocon,,industry,accepted,0.7,model,1
Biocon Sdn. Bhd.,Biocon,,industry,accepted,0.7,model,1
Biodel Inc,Biodel,,industry,accepted,0.98,model,1
Biodexa Limited / Rapamycin Holdings Inc.,Biodexa Pharmaceuticals,,industry,accepted,0.6,model,1
Biodol Therapeutics,Biodol Therapeutics,,industry,accepted,0.8,model,1
Bioenvision,Bioenvision,,industry,accepted,0.95,model,1
Biofabri S.L. / Fundacion Para La Investigacion En Urologia,Biofabri,,industry,accepted,0.6,model,1
Biofarm S.A.,Biofarm,,industry,accepted,0.8,model,1
Bioforce AG Roggwil TG,Bioforce,,industry,accepted,0.8,model,1
Bioforce GmbH,Bioforce,,industry,accepted,0.7,model,1
Biogen Idec A/S,Biogen,,industry,accepted,0.93,model,1
Biogen Idec GmbH,Biogen,,academic,accepted,0.93,model,1
Biogen Idec Hemophilia Inc.,Biogen,,industry,accepted,0.93,model,1
"Biogen Idec Hemophilia, Inc.",Biogen,,industry,accepted,0.93,model,1
Biogen Idec Inc,Biogen,,industry,accepted,0.93,model,1
Biogen Idec Inc. / Biogen Idec Ltd,Biogen,,industry,accepted,0.93,model,1
Biogen Idec International GmbH,Biogen,,industry,accepted,0.93,model,1
Biogen Idec Norway,Biogen,,industry,accepted,0.93,model,1
Biogen MA,Biogen,,industry,accepted,0.9,model,1
Biogen Portugal,Biogen,,industry,accepted,0.9,model,1
BiogenIdec A/S,Biogen,,industry,accepted,0.93,model,1
Biogencell Ltd.,Biogencell,,industry,accepted,0.7,model,1
"Biohaven Pharmaceuticals, Inc",Biohaven,,industry,accepted,0.9,model,1
Bioheart,Bioheart,,industry,accepted,0.6,model,1
Biohorm S.L.,Biohorm,,industry,accepted,0.95,model,1
"Biohorm, S.L.",Biohorm,,industry,accepted,0.95,model,1
Bioibrica S.A.,Bioibrica,,industry,accepted,0.95,model,1
Bioinvent International AB,BioInvent International,,industry,accepted,0.98,model,1
Biolex Therapeutics Inc.,Biolex Therapeutics,,industry,accepted,0.98,model,1
"Biolex Therapeutics, Inc",Biolex Therapeutics,,industry,accepted,0.98,model,1
Bioline Rx Ltd.,BioLineRx,,industry,accepted,0.95,model,1
Biolipox AB,Biolipox,,industry,accepted,0.9,model,1
"Biologische Heilmittel Heel GmbH,",Heel,,industry,accepted,0.95,model,1
Biologiske Stasjon Drbak,Biologiske Stasjon Drøbak,,unknown,accepted,0.5,model,1
BiomX Ltd.,BiomX,,industry,accepted,0.95,model,1
Biomea Fusion Inc.,Biomea Fusion,,industry,accepted,0.9,model,1
Biomedica Foscama Industria Chimico-Farmaceutica S.p.A.,Biomedica Foscama,,industry,accepted,0.9,model,1
Biomedizinische Forschung und Bio-Produkte AG,Biomedizinische Forschung und Bio-Produkte AG,,industry,accepted,0.6,model,1
Biomet NL,Biomet,,industry,accepted,0.7,model,1
Biomx Ltd.,BiomX,,industry,accepted,0.95,model,1
BiondVax Pharmaceuticals Ltd.,BiondVax Pharmaceuticals,,industry,accepted,0.99,model,1
BiondVax Pharmaceuticals ltd,BiondVax Pharmaceuticals,,industry,accepted,0.99,model,1
Biontech US Inc.,BioNTech,,industry,accepted,0.95,model,1
Bioprojet Pharma / Bioprojet Pharma,Bioprojet,,industry,accepted,0.96,model,1
Bioresearch Pharma S.A.,Bioresearch Pharma,,industry,accepted,0.6,model,1
"Biosense Webster, Inc.",Biosense Webster,Johnson & Johnson,industry,accepted,0.9,model,1
Biosynexus Incorporated,Biosynexus Incorporated,,industry,accepted,0.8,model,1
Biota Pharma Europe Limited,Biota Pharmaceuticals,,industry,accepted,0.9,model,1
"Biota Pharmaceuticals, Inc.",Biota Pharmaceuticals,,industry,accepted,0.9,model,1
Biota Scientific Management Pty Ltd,Biota Pharmaceuticals,,industry,accepted,0.9,model,1
Biota Scientific Management Pty Ltd.,Biota Pharmaceuticals,,industry,accepted,0.9,model,1
Biotech Tools sa,BioTech Tools,,industry,accepted,0.98,model,1
Biotechnology Institute I Mas D S.L.,BTI Biotechnology Institute,,industry,accepted,0.9,model,1
Biotest GmbH & Co. KGaA,Biotest,,industry,accepted,0.85,model,1
Biotherapy Services Ltd.,Biotherapy Services,,industry,accepted,0.7,model,1
Biothervax SpA,Biothervax,,industry,accepted,0.6,model,1
Biotie Therapies,Biotie Therapies,,industry,accepted,0.95,model,1
Biotie Therapies Inc.,Biotie Therapies,,industry,accepted,0.95,model,1
Biotie Therapies Inc.a wholly owned subsidiary of Acorda Therapeutics Inc.,Biotie Therapies,,industry,accepted,0.9,model,1
Bioventus LLC,Bioventus,,industry,accepted,0.9,model,1
Bioverativ Therapeutics Inc. a Sanofi company,Bioverativ,Sanofi,industry,accepted,0.9,model,1
"Bioverativ USA, Inc.",Bioverativ,Sanofi,industry,accepted,0.9,model,1
Biovitrum AB publ,Sobi,,industry,accepted,0.9,model,1
Biovitrum AB publ.,Sobi,,industry,accepted,0.9,model,1
Bioxodes,Bioxodes,,industry,accepted,0.7,model,1
Bipebjerg University Hospital,Bispebjerg Hospital,,hospital,accepted,0.7,model,1
Birmingham Childrens Hospital,Birmingham Women's and Children's NHS Foundation Trust,,hospital,accepted,0.7,model,1
Birmingham Community Healthcare NHS Trust,Birmingham Community Healthcare NHS Trust,,hospital,accepted,0.9,model,1
Birmingham Heartlands Hospital,Birmingham Heartlands Hospital,,hospital,accepted,0.7,model,1
BirrBeheerBV,BirrBeheerBV,,industry,accepted,0.5,model,1
"Birte Nygaard, Dept of Endocrinology, Herelv Hosptial, University og Copenhagen,",Herlev Hospital,,hospital,accepted,0.7,model,1
Birthe Pedersen,Birthe Pedersen,,individual,accepted,0.9,model,1
Bispeberg Hospital,Bispebjerg Hospital,,hospital,accepted,0.8,model,1
Bispebjerg Hospital / Gentofte Hospital,Bispebjerg Hospital,,hospital,accepted,0.9,model,1
"Bispebjerg Hospital, Department of Dermatology and Venereology",Bispebjerg Hospital,,hospital,accepted,0.9,model,1
"Bispebjerg Hospital, Respiratory and Allergy Research Unit",Bispebjerg Hospital,,hospital,accepted,0.9,model,1
"Bispebjerg and Frederiksberg Hospital, University of Copenhagen",Bispebjerg Hospital,,hospital,accepted,0.9,model,1
Bispebjerg hospital,Bispebjerg Hospital,,hospital,accepted,0.9,model,1
"Bispebjerg hospital, Dermato-Venerologisk afdeling, Jacob Pontoppidan Thyssen",Bispebjerg Hospital,,hospital,accepted,0.9,model,1
Bispebjerg-Frederiksberg Hospital,Bispebjerg Hospital,,hospital,accepted,0.9,model,1
Bjrn Holmberg,Björn Holmberg,,individual,accepted,0.6,model,1
"Black Diamond Therapeutics, Inc.",Black Diamond Therapeutics,,industry,accepted,0.9,model,1
Blackpool Fylde  Wyre Healthcare NHS Trust,Blackpool Fylde and Wyre Healthcare NHS Trust,,hospital,accepted,0.8,model,1
"Blade Therapeutics, Inc.",Blade Therapeutics,,industry,accepted,0.9,model,1
Blekinge county council,Blekinge läns landsting,,public_body,accepted,0.8,model,1
Blockeel Christophe,Christophe Blockeel,,individual,accepted,0.7,model,1
"Blodbanken, Rigshospitalet",Rigshospitalet,,hospital,accepted,0.95,model,1
Blood Transfusion Centre of Slovenia,Blood Transfusion Centre of Slovenia,,public_body,accepted,0.9,model,1
"Blood bank, Rigshospitalet, University Hospital of Copenhagen",Rigshospitalet,,hospital,accepted,0.95,model,1
Blue Earth Diagnostics Ireland Limited,Blue Earth Diagnostics,,industry,accepted,0.9,model,1
Blue Earth Diagnostics Limited,Blue Earth Diagnostics,,industry,accepted,0.9,model,1
Blueberry Therapeutics Ltd,Blueberry Therapeutics,,industry,accepted,0.95,model,1
Blueberry Therapeutics Ltd.,Blueberry Therapeutics,,industry,accepted,0.95,model,1
"Blueclinical, Ltd.",Blueclinical,,industry,accepted,0.7,model,1
Bluejay Therapeutics Inc.,Bluejay Therapeutics,,industry,accepted,0.9,model,1
Blueprint Medicines,Blueprint Medicines,,industry,accepted,0.98,model,1
Bo Feldt-Rasmussen,Bo Feldt-Rasmussen,,individual,accepted,0.9,model,1
Bo Lennerns,Bo Lennernäs,,individual,accepted,0.6,model,1
Bo Sderpalm,Bo Söderpalm,,individual,accepted,0.6,model,1
Boehringer Ingelheim Austia Gm.b.H,Boehringer Ingelheim,,industry,accepted,0.97,model,1
Boehringer Ingelheim Austria GesmbH,Boehringer Ingelheim,,industry,accepted,0.97,model,1
Boehringer Ingelheim B. V.,Boehringer Ingelheim,,industry,accepted,0.97,model,1
Boehringer Ingelheim Coordination Centre Belgium,Boehringer Ingelheim,,industry,accepted,0.97,model,1
Boehringer Ingelheim Danmark A/S,Boehringer Ingelheim,,industry,accepted,0.97,model,1
Boehringer Ingelheim Ellas AE,Boehringer Ingelheim,,industry,accepted,0.97,model,1
"Boehringer Ingelheim Esapaa, S.A.",Boehringer Ingelheim,,industry,accepted,0.97,model,1
Boehringer Ingelheim Espaa S.A,Boehringer Ingelheim,,industry,accepted,0.97,model,1
Boehringer Ingelheim France S.A.S.,Boehringer Ingelheim,,industry,accepted,0.97,model,1
Boehringer Ingelheim GmbH  Co. KG,Boehringer Ingelheim,,industry,accepted,0.97,model,1
Boehringer Ingelheim International GmbH / Boehringer Ingelheim International GmbH,Boehringer Ingelheim,,industry,accepted,0.97,model,1
Boehringer Ingelheim International GmbH / Boehringer Ingelheim International GmbH / Boehringer Ingelheim Espana S.A.,Boehringer Ingelheim,,industry,accepted,0.97,model,1
Boehringer Ingelheim Netherlands B.V.,Boehringer Ingelheim,,industry,accepted,0.97,model,1
Boehringer Ingelheim Pharma Ges.m.b.H.,Boehringer Ingelheim,,industry,accepted,0.97,model,1
Boehringer Ingelheim Pharma GmbH Co KG,Boehringer Ingelheim,,industry,accepted,0.97,model,1
Boehringer Ingelheim Pharma RCV GmbH  Co. KG,Boehringer Ingelheim,,industry,accepted,0.97,model,1
"Boehringer Ingelheim Pharmaceuticals, Inc.",Boehringer Ingelheim,,industry,accepted,0.97,model,1
Boehringer Ingelheim RCV  Co KG,Boehringer Ingelheim,,industry,accepted,0.97,model,1
Boehringer Ingelheim RCV  GmbHCo KG,Boehringer Ingelheim,,industry,accepted,0.97,model,1
Boehringer Ingelheim RCV GesmbH + CoKG,Boehringer Ingelheim,,industry,accepted,0.97,model,1
Boehringer Ingelheim RCV GmBH  Co KG,Boehringer Ingelheim,,industry,accepted,0.97,model,1
Boehringer Ingelheim RCV Gmb  Co KG,Boehringer Ingelheim,,industry,accepted,0.97,model,1
Boehringer Ingelheim RCV GmbHCo KG,Boehringer Ingelheim,,industry,accepted,0.97,model,1
Boehringer Ingelheim b.v.,Boehringer Ingelheim,,industry,accepted,0.97,model,1
Boehringer Ingelheim s.r.o.,Boehringer Ingelheim,,industry,accepted,0.97,model,1
Boehringer ingelheim Pharma GmbH  Co KG,Boehringer Ingelheim,,industry,accepted,0.97,model,1
Boehringer-Ingelheim B.V.,Boehringer Ingelheim,,industry,accepted,0.97,model,1
Boehringer-Inglheim RCV GmbH  Co KG,Boehringer Ingelheim,,industry,accepted,0.9,model,1
Boerhinger Ingelheim Pharma GmbH  Co.KG,Boehringer Ingelheim,,industry,accepted,0.97,model,1
Boiron,Boiron,,industry,accepted,0.97,model,1
Boiron Laboratoires,Boiron,,industry,accepted,0.97,model,1
Bold Therapeutics Inc.,Bold Therapeutics,,industry,accepted,0.7,model,1
Bombastus-Werke AG,Bombastus-Werke,,industry,accepted,0.9,model,1
Bonaventura Clotet Sala,Bonaventura Clotet Sala,,individual,accepted,0.8,model,1
Bonaventura Clotet/Ramn Planas/Ricard Sol,Bonaventura Clotet/Ramon Planas/Ricard Sole,,individual,accepted,0.5,model,1
Bone Therapeutics SA,Bone Therapeutics,,industry,accepted,0.95,model,1
Boneca Corporation,Boneca Corporation,,industry,accepted,0.6,model,1
"Bonkolab, Rigshospitalet",Rigshospitalet,,hospital,accepted,0.95,model,1
Bonsai Biotherapeutics AB,Bonsai Biotherapeutics,,industry,accepted,0.9,model,1
Boris Modrau,Boris Modrau,,individual,accepted,0.9,model,1
Boston Medical Group Spain S.L.,Boston Medical Group,,industry,accepted,0.85,model,1
"Boston Pharmaceuticals, Inc.",Boston Pharmaceuticals,,industry,accepted,0.9,model,1
Bracco Imaging S.p.A,Bracco,,industry,accepted,0.95,model,1
Bracco Imaging SPA,Bracco,,industry,accepted,0.95,model,1
Bracco Imaging SpA,Bracco,,academic,accepted,0.95,model,1
Bracco Imaging Spa,Bracco,,industry,accepted,0.95,model,1
Braeburn Pharmaceuticals,Braeburn Pharmaceuticals,,industry,accepted,0.9,model,1
"Brain Center Rudolf Magnus, University Medical Center Utrecht, Department of Psychiatry, Utrecht , the Netherlands",University Medical Center Utrecht,,hospital,accepted,0.95,model,1
"Breastcentre, Capio St Gorans Hospital",Capio S:t Görans Sjukhus,,hospital,accepted,0.7,model,1
Breno Moreno de Gusmao,Breno Moreno de Gusmao,,individual,accepted,0.9,model,1
Brenus Pharma,Brenus Pharma,,industry,accepted,0.9,model,1
BrepCo Biopharma Limited,BrepCo Biopharma,,industry,accepted,0.7,model,1
Bridge BioResearch Rights Jersey Ltd,Bridge BioResearch Rights Jersey,,industry,accepted,0.6,model,1
Brighton and Sussex Universities Hospitals Trust Research and Development Directorate,Brighton and Sussex University Hospitals NHS Trust,,hospital,accepted,0.9,model,1
Brighton and Sussex University Hospitals NHS Trus,Brighton and Sussex University Hospitals NHS Trust,,hospital,accepted,0.9,model,1
Bristol Myers Squibb,Bristol Myers Squibb,,industry,accepted,0.97,model,1
Bristol-Myers Squibb Company,Bristol Myers Squibb,,industry,accepted,0.97,model,1
Bristol-Myers Squibb International  Corporation,Bristol Myers Squibb,,industry,accepted,0.97,model,1
Bristol-Myers Squibb S.A.,Bristol Myers Squibb,,industry,accepted,0.97,model,1
Bristol-Myers Squibb Services Unlimited Company / Bristol-Myers Squibb Services Unlimited Company,Bristol Myers Squibb,,industry,accepted,0.97,model,1
Brneafdelingen Kolding,Brneafdelingen Kolding,,hospital,accepted,0.5,model,1
BrneklinikkenRanders,BrneklinikkenRanders,,hospital,accepted,0.5,model,1
Bruno Farmaceutici S.p.a.,Bruno Farmaceutici,,industry,accepted,0.9,model,1
Brystkirurgisk afd. F Amtsygehuset i Herlev 18 sal,Herlev Hospital,,hospital,accepted,0.95,model,1
Buckinghamshire Healthcare NHS Trust,Buckinghamshire Healthcare NHS Trust,,hospital,accepted,0.75,model,1
Buckinghamshire Hospitals NHS Trust,Buckinghamshire Healthcare NHS Trust,,hospital,accepted,0.75,model,1
Bundeswehr,Bundeswehr,,public_body,accepted,0.8,model,1
C. HOSPITALARIO VIRGEN DEL ROCIO,Hospital Universitario Virgen del Rocio,,hospital,accepted,0.9,model,1
C.H.U de Clermont Ferrand,CHU de Clermont-Ferrand,,hospital,accepted,0.97,model,1
C.T. Development Switzerland SARL,C.T. Development Switzerland,,industry,accepted,0.7,model,1
C.U.B ERASME HOSPITAL,Hôpital Erasme,,hospital,accepted,0.95,model,1
CAMBRIDGE UNIVERSITY HOSPITALS FOUNDATION NHS TRUST,Cambridge University Hospitals NHS Foundation Trust,,hospital,accepted,0.88,model,1
CARDIFF UNIVERSITY,Cardiff University,,academic,accepted,0.96,model,1
