raw_sponsor,proposed,confidence,n_trials,review_reason,reason,channel,model_id
Juha Rinne / PET Centre,Juha Rinne / PET Centre,0.6,1,low confidence,Named individual associated with a PET Centre; insufficient info to identify a distinct parent institution.,mint,claude-sonnet-5
Jules Borde Institute,Institut Jules Bordet,0.6,1,low confidence,"Likely misspelling of Institut Jules Bordet, a cancer hospital in Brussels",mint,claude-sonnet-5
Julian Pans,Julian Pans,0.6,1,low confidence,,mint,claude-sonnet-5
"K-Group Alpha, Inc",K-Group Alpha,0.6,1,low confidence,,mint,claude-sonnet-5
KAS Glostrup,Glostrup Hospital,0.6,1,low confidence,"Kobenhavns Amts Sygehus Glostrup, a Danish hospital",mint,claude-sonnet-5
"KOMINOX USA, Inc.",Kominox USA,0.6,1,low confidence,,mint,claude-sonnet-5
KORPO S.R.L.,Korpo S.r.l.,0.6,1,low confidence,,mint,claude-sonnet-5
Kardigan Inc.,Kardigan,0.6,1,low confidence,,mint,claude-sonnet-5
Karolinska Institutet at Danderyd University Hospital,Karolinska Institutet,0.6,1,low confidence,Karolinska Institutet affiliated researchers at Danderyd Hospital,mint,claude-sonnet-5
"Karolinska Institutet, Department of Clinical Sciences, Danderyd Hospital. Division of internal medi",Karolinska Institutet,0.6,1,low confidence,Karolinska Institutet affiliated researchers at Danderyd Hospital,mint,claude-sonnet-5
Karolinska University Hospital / Swedish Lung Cancer Group,Karolinska University Hospital / Swedish Lung Cancer Group,0.6,1,low confidence,,mint,claude-sonnet-5
Keele University / University Hospital of North Staffordshire NHS Trust,Keele University,0.6,1,low confidence,All entries include Keele University as joint or sole sponsor with varying NHS trust partners,mint,claude-sonnet-5
Kingss College London / South London and Maudsley NHS Foundation Trust,King's College London / South London and Maudsley NHS Foundation Trust,0.6,1,low confidence,Combined academic-hospital sponsor string,mint,claude-sonnet-5
"Kingston General Hospital, Queens University of Kingston",Kingston General Hospital,0.6,1,low confidence,Hospital affiliated with Queens University of Kingston,mint,claude-sonnet-5
Kitasato institute clinical trial coordinating center,Kitasato Institute Clinical Trial Coordinating Center,0.6,1,low confidence,Coordinating center affiliated with Kitasato Institute/University,mint,claude-sonnet-5
Klaipeda hospital,Klaipeda hospital,0.6,1,low confidence,"Single hospital sponsor string, no further detail available",mint,claude-sonnet-5
Klinikum der Universitt,Klinikum der Universität München,0.6,1,low confidence,"Accent-stripped 'Klinikum der Universitt' likely refers to a university hospital, most plausibly Klinikum der Universität München; exact affiliation uncertain.",mint,claude-sonnet-5
"Klinisk Farmakologisk Center og Med. Afd. M, rhus Sygehus, NBG",Aarhus Sygehus,0.6,1,low confidence,Department resolves to Aarhus Sygehus (Aarhus Hospital),mint,claude-sonnet-5
Koagulationscentrum UMAS,Koagulationscentrum UMAS,0.6,1,low confidence,Coagulation center likely part of Malmo University Hospital (UMAS),mint,claude-sonnet-5
Kompetenznetz TDM-KJP e.V.,Kompetenznetz TDM-KJP e.V.,0.6,1,low confidence,,mint,claude-sonnet-5
Konvent Der Barmherzigen Brueder,Konvent der Barmherzigen Brueder,0.6,1,low confidence,,mint,claude-sonnet-5
Kupando GmbH,Kupando,0.6,1,low confidence,,mint,claude-sonnet-5
Kurort Forschungsverein Bad Steben e.V.,Kurort Forschungsverein Bad Steben e.V.,0.6,1,low confidence,,mint,claude-sonnet-5
LABOpoint GmbH,LABOpoint,0.6,1,low confidence,,mint,claude-sonnet-5
LM Diagnsticos S.L.,LM Diagnosticos,0.6,1,low confidence,,mint,claude-sonnet-5
LUIS FERNNDEZ- LLEBREZ DEL REY,Luis Fernández-Llebrez del Rey,0.6,1,low confidence,,mint,claude-sonnet-5
"LUMC, VRSP",Leiden University Medical Center,0.6,1,low confidence,LUMC is a common abbreviation for Leiden University Medical Center; VRSP unclear qualifier.,mint,claude-sonnet-5
Laboratoire IASON,Laboratoire IASON,0.6,1,low confidence,,mint,claude-sonnet-5
Laboratoire de la Mer,Laboratoire de la Mer,0.6,1,low confidence,,mint,claude-sonnet-5
Laboratoires ELERTE,Laboratoires ELERTE,0.6,1,low confidence,,mint,claude-sonnet-5
Laboratorio de Aplicaciones Farmacodinmicas S.A.,Laboratorio de Aplicaciones Farmacodinamicas,0.6,1,low confidence,,mint,claude-sonnet-5
"Laboratorios Dr. Esteve, S.A. / Pharming Tecnologies B.V.",Pharming Group,0.6,1,low confidence,Joint sponsor string involving Pharming and Esteve; grouped with Pharming due to shared name,mint,claude-sonnet-5
Lactest S.L.,Lactest S.L.,0.6,1,low confidence,,mint,claude-sonnet-5
LactoResearch sprl,LactoResearch,0.6,1,low confidence,,mint,claude-sonnet-5
"Landstinget Srmland Landstingskansliet, Hlso-och Sjukvrdsledningen",Landstinget Sormland,0.6,1,low confidence,,mint,claude-sonnet-5
Lars mller Pedersen,Lars Müller Pedersen,0.6,1,low confidence,,mint,claude-sonnet-5
Lene Bksgaard Jensen,Lene Bøksgaard Jensen,0.6,1,low confidence,"Appears to be a person's name, likely with deleted accented character (Bøksgaard).",mint,claude-sonnet-5
Ligartis GmbH,Ligartis,0.6,1,low confidence,,mint,claude-sonnet-5
Lightlake Sinclair Oy,Lightlake Sinclair,0.6,1,low confidence,,mint,claude-sonnet-5
Lijf en Leven,Lijf en Leven,0.6,1,low confidence,"Single string, likely a Dutch foundation.",mint,claude-sonnet-5
Limoxifen BV,Limoxifen,0.6,1,low confidence,,mint,claude-sonnet-5
Lipid Therapeutics GmbH,Lipid Therapeutics,0.6,1,low confidence,,mint,claude-sonnet-5
Lophora ApS,Lophora ApS,0.6,1,low confidence,,mint,claude-sonnet-5
M ANGELES CALDERON,M Angeles Calderon,0.6,1,low confidence,"Appears to be a personal name, not an organisation.",mint,claude-sonnet-5
M Antnia Perell Juan,M. Antònia Perelló Juan,0.6,1,low confidence,"Appears to be a personal name, not an organisation.",mint,claude-sonnet-5
M Consuelo del Caizo Fernndez-Roldn,M Consuelo del Cañizo Fernández-Roldán,0.6,1,low confidence,Appears to be a named individual investigator,mint,claude-sonnet-5
M2rlab S.L.,M2rlab,0.6,1,low confidence,,mint,claude-sonnet-5
"MAGGOT 2006 Egszsggyi, Kereskedelmi s Szolgltat Ltd.","MAGGOT 2006 Egeszsegugyi, Kereskedelmi es Szolgaltato Ltd.",0.6,1,low confidence,,mint,claude-sonnet-5
MANUEL NGEL GMEZ ROS,Manuel Ángel Gómez Ríos,0.6,1,low confidence,,mint,claude-sonnet-5
MAPREG,MAPREG,0.6,1,low confidence,"Single sponsor string, appears to be a company (MAPREG).",mint,claude-sonnet-5
MARIANO ARTES CASELLES,Mariano Artes Caselles,0.6,1,low confidence,,mint,claude-sonnet-5
"MDVI, LLC",MDVI,0.6,1,low confidence,,mint,claude-sonnet-5
MEDESTEA RESEARCH  PRODUCTION,Medestea Research & Production,0.6,1,low confidence,,mint,claude-sonnet-5
MEGAINPHARM GmbH,Megapharm,0.6,1,low confidence,,mint,claude-sonnet-5
MELORA PORTUGUESA. LDA.,Melora Portuguesa,0.6,1,low confidence,,mint,claude-sonnet-5
ML Bio Solutions Inc.,ML Bio Solutions,0.6,1,low confidence,,mint,claude-sonnet-5
MRC Health Services Research Collaboration,MRC Health Services Research Collaboration,0.6,1,low confidence,,mint,claude-sonnet-5
Maatschap Cardiologie Zwolle,Maatschap Cardiologie Zwolle,0.6,1,low confidence,"Single string, appears to be a cardiology group practice partnership in Zwolle",mint,claude-sonnet-5
Manuel Garca Medina,Manuel Garcia Medina,0.6,1,low confidence,,mint,claude-sonnet-5
Mara Carmen Cabellos Mnguez,Mara Carmen Cabellos Mnguez,0.6,1,low confidence,,mint,claude-sonnet-5
Mara Dolores Sousa Regueiro,Maria Dolores Sousa Regueiro,0.6,1,low confidence,"Appears to be an individual person name, likely sponsor-investigator.",mint,claude-sonnet-5
Mara Jos Linares Gil,Mara Jose Linares Gil,0.6,1,low confidence,"Appears to be a personal name, not an organisation.",mint,claude-sonnet-5
Mara de los ngeles lvarez Lpez,Maria de los Angeles Alvarez Lopez,0.6,1,low confidence,"Appears to be a personal name, likely an investigator, with accents stripped by registry.",mint,claude-sonnet-5
Martini Hospital,Martini Ziekenhuis,0.6,1,low confidence,,mint,claude-sonnet-5
Matti Vlimki,Matti Valimaki,0.6,1,low confidence,,mint,claude-sonnet-5
MedQuality Forschung GmbH,MedQuality Forschung,0.6,1,low confidence,,mint,claude-sonnet-5
MediPsych SA,MediPsych,0.6,1,low confidence,,mint,claude-sonnet-5
Medical Center Alkmaar,Medical Center Alkmaar,0.6,1,low confidence,,mint,claude-sonnet-5
Medical Enterprises Europe B.V,Medical Enterprises Europe,0.6,1,low confidence,,mint,claude-sonnet-5
Medical Ethics UK Ltd,Medical Ethics UK,0.6,1,low confidence,,mint,claude-sonnet-5
"Medical University, Dpt. Internal Medicin, Division of General Internal Medicine","Medical University, Dpt. of Internal Medicine, Division of General Internal Medicine",0.6,1,low confidence,Same department with spelling/typo variants,mint,claude-sonnet-5
"Medicinkliniken, Sjukhuset Lidkping",Sjukhuset Lidköping,0.6,1,low confidence,Department resolved to its parent hospital.,mint,claude-sonnet-5
"Medis, d.o.o.",Medis,0.6,1,low confidence,,mint,claude-sonnet-5
Medizinische Fakultt der Universitt Rostock,"Universität Rostock, Medizinische Fakultät",0.6,1,low confidence,"Medical faculty of the university, distinct from the hospital",mint,claude-sonnet-5
Meerkanten GGz,Meerkanten GGz,0.6,1,low confidence,Single mental health care institution mentioned once.,mint,claude-sonnet-5
"Meical University, Dpt. Internal Medicine, Div. of General Internal Medicine","Medical University, Dpt. of Internal Medicine, Division of General Internal Medicine",0.6,1,low confidence,Same department with spelling/typo variants,mint,claude-sonnet-5
Mesentech Inc.,Mesentech,0.6,1,low confidence,,mint,claude-sonnet-5
Metabolism and Nutrition Group of the SEMICYUC,Metabolism and Nutrition Group of the SEMICYUC,0.6,1,low confidence,,mint,claude-sonnet-5
Miguel ngel Zapata. Oftalmologa. Hospital vall dHebron,Hospital Universitari Vall d'Hebron,0.6,1,low confidence,Person (Miguel Angel Zapata) associated with Hospital Vall d'Hebron; institution taken as canonical per rule 4.,mint,claude-sonnet-5
MondoGEN AG,MondoGEN,0.6,1,low confidence,,mint,claude-sonnet-5
Monteresearch S.r.l.,Monteresearch,0.6,1,low confidence,,mint,claude-sonnet-5
Multiplex Pharma Holdings LLC,Multiplex Pharma Holdings,0.6,1,low confidence,,mint,claude-sonnet-5
Mutua Universal MUGENAT,Mutua Universal MUGENAT,0.6,1,low confidence,,mint,claude-sonnet-5
"N-GENE Research Laboratories, Inc.",N-Gene Research Laboratories,0.6,1,low confidence,,mint,claude-sonnet-5
N-Gene Research  Development Ltd.,N-Gene Research Laboratories,0.6,1,low confidence,,mint,claude-sonnet-5
NEURALIS s.a.,NEURALIS,0.6,1,low confidence,,mint,claude-sonnet-5
NH-kliniken Sunderby Sjukhus,Sunderby Sjukhus,0.6,1,low confidence,,mint,claude-sonnet-5
NSGO,Nordic Society of Gynaecological Oncology,0.6,1,low confidence,"NSGO is the acronym for the Nordic Society of Gynaecological Oncology, a clinical trial cooperative group.",mint,claude-sonnet-5
NX Development Corp.,NX Development Corp.,0.6,1,low confidence,,mint,claude-sonnet-5
Nadan fond Donatio intensivistam,Nadan fond Donatio intensivistam,0.6,1,low confidence,,mint,claude-sonnet-5
National Institute Of Cardiology,National Institute Of Cardiology,0.6,1,low confidence,,mint,claude-sonnet-5
National Institute of Child Health,National Institute of Child Health,0.6,1,low confidence,,mint,claude-sonnet-5
National Medical Center Orszgos Gygyintzeti Kzpont,Orszagos Gyogyintezeti Kozpont,0.6,1,low confidence,,mint,claude-sonnet-5
National Stroke Research Institute,National Stroke Research Institute,0.6,1,low confidence,"Single string, treated as its own organisation.",mint,claude-sonnet-5
Ncleo de Estudos de Hipertenso da Beira Interior,Nucleo de Estudos de Hipertensao da Beira Interior,0.6,1,low confidence,,mint,claude-sonnet-5
Nekkar Lab srl,Nekkar Lab,0.6,1,low confidence,,mint,claude-sonnet-5
Nelum Corp.,Nelum Corp.,0.6,1,low confidence,,mint,claude-sonnet-5
NeuroCode AG,NeuroCode,0.6,1,low confidence,,mint,claude-sonnet-5
"Neuroanstesiologisk Klinik, RH/Glostrup",Rigshospitalet,0.6,1,low confidence,"Department within Rigshospitalet (RH), Glostrup site",mint,claude-sonnet-5
Neurocure Ltd,Neurocure,0.6,1,low confidence,,mint,claude-sonnet-5
Neurofix S.L.,Neurofix,0.6,1,low confidence,,mint,claude-sonnet-5
"Neurologia Aplicada, SLP","Neurologia Aplicada, SLP",0.6,1,low confidence,,mint,claude-sonnet-5
Neurologische Klinik Bad Neustadt,Neurologische Klinik Bad Neustadt,0.6,1,low confidence,,mint,claude-sonnet-5
Neurologisk Afdeling,Aarhus Universitetshospital,0.6,1,low confidence,Neurology departments (Neurologisk Afdeling/F) resolve to parent Aarhus University Hospital (Aarhus Sygehus).,mint,claude-sonnet-5
Neurologisk Afdeling rhus Universitetshospital,Aarhus Universitetshospital,0.6,1,low confidence,Neurology departments (Neurologisk Afdeling/F) resolve to parent Aarhus University Hospital (Aarhus Sygehus).,mint,claude-sonnet-5
Neurologisk afdeling F,Aarhus Universitetshospital,0.6,1,low confidence,Neurology departments (Neurologisk Afdeling/F) resolve to parent Aarhus University Hospital (Aarhus Sygehus).,mint,claude-sonnet-5
"Neurologisk afdeling F, rhus Sygehus, NBG",Aarhus Universitetshospital,0.6,1,low confidence,Neurology departments (Neurologisk Afdeling/F) resolve to parent Aarhus University Hospital (Aarhus Sygehus).,mint,claude-sonnet-5
Neurothera Labs Inc.,Neurothera Labs,0.6,1,low confidence,,mint,claude-sonnet-5
Neurovascular Research Group-IRVH,Neurovascular Research Group-IRVH,0.6,1,low confidence,,mint,claude-sonnet-5
Noe LGA Gesundheit Region Mitte GmbH,Noe LGA Gesundheit Region Mitte,0.6,1,low confidence,,mint,claude-sonnet-5
Nordfjord Psychiatric Centre,Nordfjord Psychiatric Centre,0.6,1,low confidence,,mint,claude-sonnet-5
North Hampshire Hospital NHS Trust,Hampshire Hospitals NHS Trust,0.6,1,low confidence,Likely same NHS trust with slightly different naming variants.,mint,claude-sonnet-5
Novatreat Ltd,Novatreat,0.6,1,low confidence,,mint,claude-sonnet-5
OA Doz. Dr. Thomas Mller c/o BS Zentrallabor Konventhospital Barmherzige Brder Linz,Thomas Muller,0.6,1,low confidence,Person associated with hospital lab,mint,claude-sonnet-5
OBCTCD-24 Ltd,OBCTCD-24 Ltd,0.6,1,low confidence,,mint,claude-sonnet-5
ONCO3R Therapeutics,ONCO3R Therapeutics,0.6,1,low confidence,,mint,claude-sonnet-5
OPERA SRL,Opera Srl,0.6,1,low confidence,,mint,claude-sonnet-5
OSSERVATORIO EPIDEMIOLOGICO GISEA,Osservatorio Epidemiologico GISEA,0.6,1,low confidence,,mint,claude-sonnet-5
OTH - Chief Medical Officers Office,Chief Medical Officers Office,0.6,1,low confidence,,mint,claude-sonnet-5
Ocus Innovation Ireland Limited,Ocus Innovation Ireland Limited,0.6,1,low confidence,,mint,claude-sonnet-5
Ohb Neonatology Limited,OHB Neonatology Limited,0.6,1,low confidence,,mint,claude-sonnet-5
Oncorena AB,Oncorena AB,0.6,1,low confidence,,mint,claude-sonnet-5
Oncosyne AS,Oncosyne AS,0.6,1,low confidence,,mint,claude-sonnet-5
Only For Children Pharmaceuticals,Only For Children Pharmaceuticals,0.6,1,low confidence,,mint,claude-sonnet-5
Ortopdkirurgisk Forskning - Aarhus Universitetshospita,Aarhus Universitetshospital,0.6,1,low confidence,Orthopedic research department resolves to Aarhus University Hospital.,mint,claude-sonnet-5
Oxcia AB / Thomas Helledays Stiftelse Foer Medicinsk Forskning / Oxcia AB,Oxcia,0.6,1,low confidence,Company Oxcia AB associated with Thomas Helleday's Foundation for Medical Research.,mint,claude-sonnet-5
PD  Dr. med. K-H. Konz,K-H. Konz,0.6,1,low confidence,"Named individual physician, no institution specified",mint,claude-sonnet-5
PDC line pharma,PDC*line Pharma,0.6,1,low confidence,,mint,claude-sonnet-5
PET Diagnosztikai Kft.,PET Diagnosztikai Kft.,0.6,1,low confidence,,mint,claude-sonnet-5
PRCL Research Inc.,PRCL Research,0.6,1,low confidence,,mint,claude-sonnet-5
PROMO INTERNATIONAL SRL,PROMO International,0.6,1,low confidence,,mint,claude-sonnet-5
Panin S.r.l.,Panin,0.6,1,low confidence,,mint,claude-sonnet-5
Pannon Reprodukcis Intzet B.1.2,Pannon Reprodukciós Intézet,0.6,1,low confidence,,mint,claude-sonnet-5
ParaTech A/S,ParaTech,0.6,1,low confidence,,mint,claude-sonnet-5
Parc Tauli Hospital Universitari,Parc Tauli Hospital Universitari,0.6,1,low confidence,"Hospital entity, distinct legal entity from foundation",mint,claude-sonnet-5
Parker Instituttet,Parker Institute,0.6,1,low confidence,,mint,claude-sonnet-5
ParnassiaBavoGroup,ParnassiaBavoGroup,0.6,1,low confidence,"Single sponsor string, a Dutch mental healthcare group",mint,claude-sonnet-5
Per Honore,Per Honore,0.6,1,low confidence,,mint,claude-sonnet-5
Per Lgstrup Poulsen,Per Løgstrup Poulsen,0.6,1,low confidence,"Personal name, no institution given",mint,claude-sonnet-5
Per Lindner,Per Lindner,0.6,1,low confidence,,mint,claude-sonnet-5
PerioC Ltd,PerioC,0.6,1,low confidence,,mint,claude-sonnet-5
Phafag AG,Phafag,0.6,1,low confidence,,mint,claude-sonnet-5
Pharma 2100 ApS,Pharma 2100,0.6,1,low confidence,,mint,claude-sonnet-5
Pharma Start LLC,Pharma Start LLC,0.6,1,low confidence,,mint,claude-sonnet-5
Pharmapnea AB,Pharmapnea,0.6,1,low confidence,,mint,claude-sonnet-5
Pharmavax AS,Pharmavax,0.6,1,low confidence,,mint,claude-sonnet-5
"Pharmazam, S.A.",Pharmazam,0.6,1,low confidence,,mint,claude-sonnet-5
Phenonet Inc.,Phenonet,0.6,1,low confidence,,mint,claude-sonnet-5
Philikos B.V.,Philikos,0.6,1,low confidence,,mint,claude-sonnet-5
Phoenux AG,Phoenux,0.6,1,low confidence,,mint,claude-sonnet-5
Phosprint P.C.,Phosprint P.C.,0.6,1,low confidence,,mint,claude-sonnet-5
Phost'In Therapeutics,Phost'In Therapeutics,0.6,1,low confidence,,mint,claude-sonnet-5
Pijt-Hme Central Hospital,Pijt-Hame Central Hospital,0.6,1,low confidence,,mint,claude-sonnet-5
Pikralida Sp. z o.o.,Pikralida,0.6,1,low confidence,,mint,claude-sonnet-5
Plan Nacional  Sobre SIDA,Plan Nacional Sobre SIDA,0.6,1,low confidence,"Spanish national AIDS program, a public health body",mint,claude-sonnet-5
"Podipsk nemocnice s poliklinikou, Roudnice n.L., s.r.o",Podripska nemocnice s poliklinikou Roudnice nad Labem,0.6,1,low confidence,,mint,claude-sonnet-5
Poissy Hospital,Centre Hospitalier de Poissy-Saint-Germain-en-Laye,0.6,1,low confidence,"Poissy Hospital refers to the French hospital, likely Centre Hospitalier de Poissy-Saint-Germain-en-Laye.",mint,claude-sonnet-5
Polclinica Nuestra Seora del Rosario,Policlinica Nuestra Senora del Rosario,0.6,1,low confidence,"Single hospital-like string with likely deleted accents, no group affiliation indicated.",mint,claude-sonnet-5
Policlinico di Bari-UO Gastroenterologia,Policlinico di Bari,0.6,1,low confidence,University Hospital Consorziale Policlinico is same as Policlinico di Bari,mint,claude-sonnet-5
Poltreg S.A.,Polfarmex,0.6,1,low confidence,"Single sponsor string, biotech company Poltreg S.A.",mint,claude-sonnet-5
Polyclinique De L'europe,Polyclinique De L'Europe,0.6,1,low confidence,,mint,claude-sonnet-5
"Pr Giampiero CAMPANELLI Universit di Milano, Dipartimento di Scienze Chirurgiche, Ospedale Maggior",Universita di Milano,0.6,1,low confidence,Person with institution affiliation,mint,claude-sonnet-5
Praxis Prof. Koenig,Praxis Prof. Koenig,0.6,1,low confidence,Single physician practice named after Prof. Koenig; treated as individual/practice.,mint,claude-sonnet-5
Prim. Univ.-Prof. Dr. Gnter Janetschek c/o Universittsklinik fr Urologie und Andrologie,Universitätsklinik für Urologie und Andrologie,0.6,1,low confidence,"Person listed with affiliated hospital department; canonical is parent clinic, department resolves to institution.",mint,claude-sonnet-5
Prinnovation GmbH,Prinnovation,0.6,1,low confidence,,mint,claude-sonnet-5
Prof V Lund,Prof V Lund,0.6,1,low confidence,person name only,mint,claude-opus-5
Prof. Peter Licht,Peter Licht,0.6,1,low confidence,"Named individual only, no institution given",mint,claude-sonnet-5
Proreo Pharma Innovation AG,Proreo Pharma Innovation,0.6,1,low confidence,,mint,claude-sonnet-5
ProstaLundOperations AB,ProstaLundOperations AB,0.6,1,low confidence,,mint,claude-sonnet-5
"Provident Clinical Research  Consulting, Inc.",Provident Clinical Research & Consulting,0.6,1,low confidence,,mint,claude-sonnet-5
Psychiatric Centre Copenhagen,Psychiatric Centre Copenhagen,0.6,1,low confidence,,mint,claude-sonnet-5
Psyon s.r.o.,Psyon,0.6,1,low confidence,,mint,claude-sonnet-5
Pulmonary Research Institute GmbH an der Asklepiosklinik Barmbek. Niederlassung Hamburg.,Pulmonary Research Institute Munchen-Gauting,0.6,1,low confidence,,mint,claude-sonnet-5
Q-Develop AB/co Freddie Norberg,Q-Develop AB,0.6,1,low confidence,,mint,claude-sonnet-5
Qualix Pharma S.L.,Qualix Pharma,0.6,1,low confidence,,mint,claude-sonnet-5
Queens Medical centre,Queens Medical Centre,0.6,1,low confidence,"Distinct hospital, likely Nottingham QMC",mint,claude-sonnet-5
RB Pharmaceuticals Inc.,RB Pharmaceuticals,0.6,1,low confidence,,mint,claude-sonnet-5
"RD Dept Raigmore Hospital, Inverness",Raigmore Hospital,0.6,1,low confidence,Department resolves to parent hospital,mint,claude-sonnet-5
RDR Pharma GmbH,RDR Pharma,0.6,1,low confidence,,mint,claude-sonnet-5
RICARDO MORENO OTERO/MARIA CHAPARRO SANCHEZ,Ricardo Moreno Otero/Maria Chaparro Sanchez,0.6,1,low confidence,,mint,claude-sonnet-5
RadioMedic s.r.o.,RadioMedic,0.6,1,low confidence,,mint,claude-sonnet-5
Ramn Tormo Carnic,Ramón Torró Carnicé,0.6,1,low confidence,,mint,claude-sonnet-5
Realta Life Sciences Inc.,Realta Life Sciences,0.6,1,low confidence,,mint,claude-sonnet-5
Reanal Pte. Ltd.,Reanal,0.6,1,low confidence,,mint,claude-sonnet-5
Regionshospital Nordjylland,Regionshospitalet Nordjylland,0.6,1,low confidence,Anaesthesia sector is a department of the regional hospital in Nordjylland; merged under parent institution.,mint,claude-sonnet-5
Reinier van Arkel,Reinier van Arkel,0.6,1,low confidence,Reinier van Arkel is a Dutch mental health care institution.,mint,claude-sonnet-5
ReposPharma,ReposPharma,0.6,1,low confidence,Only occurrence; treated as its own company.,mint,claude-sonnet-5
ReproNovo ApS,ReproNovo,0.6,1,low confidence,,mint,claude-sonnet-5
Research Institute for the prevention of allergy and airway diseases in childhood,Research Institute for the prevention of allergy and airway diseases in childhood,0.6,1,low confidence,,mint,claude-sonnet-5
Research Maatschap Cardiologen Rijnmond Zuid,Research Maatschap Cardiologen Rijnmond Zuid,0.6,1,low confidence,,mint,claude-sonnet-5
Research and Development University Hospital of North Staffordshire / Keele University,Keele University,0.6,1,low confidence,All entries include Keele University as joint or sole sponsor with varying NHS trust partners,mint,claude-sonnet-5
Respicopea Limited,Respicopea,0.6,1,low confidence,,mint,claude-sonnet-5
Respiratory and Allergy research unit,Respiratory and Allergy Research Unit,0.6,1,low confidence,Same unit name with minor spelling/case variants,mint,claude-sonnet-5
Respitatory and Allergy Research Unit,Respiratory and Allergy Research Unit,0.6,1,low confidence,Same unit name with minor spelling/case variants,mint,claude-sonnet-5
Retinaklinikken Aleris,Retinaklinikken Aleris,0.6,1,low confidence,,mint,claude-sonnet-5
Retinaklinikken Omnia,Retinaklinikken Omnia,0.6,1,low confidence,,mint,claude-sonnet-5
Rikshospitalet-Radiumhospitalet HF,Rikshospitalet-Radiumhospitalet,0.6,1,low confidence,"Predecessor entity of Oslo University Hospital, kept separate",mint,claude-opus-5
Rnatics GmbH,Rnatics GmbH,0.6,1,low confidence,,mint,claude-sonnet-5
Rodrigo Aguilera,Rodrigo Aguilera,0.6,1,low confidence,"Appears to be a person's name only, no institution given.",mint,claude-sonnet-5
Rophibio Inc.,Rophibio,0.6,1,low confidence,,mint,claude-sonnet-5
Rosario Garca de Vicua,Rosario García de Vicuña,0.6,1,low confidence,,mint,claude-sonnet-5
Rose Pharma Inc.,Rose Pharma,0.6,1,low confidence,,mint,claude-sonnet-5
Rune Rasmussen,Rune Rasmussen,0.6,1,low confidence,Appears to be a personal name with no institutional affiliation given.,mint,claude-sonnet-5
SCIPHARM SRL,Scipharm,0.6,1,low confidence,,mint,claude-sonnet-5
SENDO TECH,Sendo Tech,0.6,1,low confidence,,mint,claude-sonnet-5
SIMIT sezione Regione Lombardia,SIMIT sezione Regione Lombardia,0.6,1,low confidence,,mint,claude-sonnet-5
SPARKLE SRL,Sparkle,0.6,1,low confidence,,mint,claude-sonnet-5
STELIC INSTITUTE  CO.,Stelic Institute & Co.,0.6,1,low confidence,,mint,claude-sonnet-5
STX Pharma,STX Pharma,0.6,1,low confidence,,mint,claude-sonnet-5
SU/Mlndal Sjukhus,Sahlgrenska Universitetssjukhuset Mölndal,0.6,1,low confidence,Both refer to Sahlgrenska University Hospital Mölndal (SU/Mölndal); the second is a dental department resolving to the same parent hospital.,mint,claude-sonnet-5
SWBH NHS Trust / Keele University,Keele University,0.6,1,low confidence,All entries include Keele University as joint or sole sponsor with varying NHS trust partners,mint,claude-sonnet-5
Sager Pharma Ltd.,Sager Pharma,0.6,1,low confidence,,mint,claude-sonnet-5
Sankt Lukas Hospice,Sankt Lukas Hospice,0.6,1,low confidence,,mint,claude-sonnet-5
Sante Atlantique,Sante Atlantique,0.6,1,low confidence,Likely a hospital/clinic named Sante Atlantique in France.,mint,claude-sonnet-5
Sebastiano Biondo Aglio,Sebastiano Biondo Aglio,0.6,1,low confidence,,mint,claude-sonnet-5
SentryX B.V.,SentryX,0.6,1,low confidence,,mint,claude-sonnet-5
Serentis Limited,Serentis Limited,0.6,1,low confidence,,mint,claude-sonnet-5
Sergio Aleman,Sergio Aleman,0.6,1,low confidence,,mint,claude-sonnet-5
Sergio Hernndez Expsito,Sergio Hernández Expósito,0.6,1,low confidence,"Appears to be a personal name, not an organisation.",mint,claude-sonnet-5
Silvia Delgado Aros,Silvia Delgado Aros,0.6,1,low confidence,,mint,claude-sonnet-5
Sinusventure LLC.,Sinusventure LLC,0.6,1,low confidence,,mint,claude-sonnet-5
Slidgigtinstituttet A/S,Slidgigtinstituttet,0.6,1,low confidence,,mint,claude-sonnet-5
Slovensko Zdruenje za gastroenterologijo in hepatologijo,Slovensko Zdruzenje za gastroenterologijo in hepatologijo,0.6,1,low confidence,,mint,claude-sonnet-5
Smarthealth Inc.,Smarthealth,0.6,1,low confidence,,mint,claude-sonnet-5
Smartwise Sweden AB,Smartwise Sweden AB,0.6,1,low confidence,,mint,claude-sonnet-5
Sociedad Madrilea de Nefrologa SOMANE,Sociedad Madrileña de Nefrología (SOMANE),0.6,1,low confidence,,mint,claude-sonnet-5
Solenne BV,Solenne,0.6,1,low confidence,,mint,claude-sonnet-5
Solstice Pharmaceuticals B.V.,Solstice Pharmaceuticals,0.6,1,low confidence,,mint,claude-sonnet-5
Sonderforschungsbereich 656 SFB 656,Sonderforschungsbereich 656,0.6,1,low confidence,"SFB 656 is a collaborative research center, typically affiliated with a German university (University of Münster), treated as its own academic entity due to lack of further detail.",mint,claude-sonnet-5
Sorlandsklinikken,Sorlandsklinikken,0.6,1,low confidence,,mint,claude-sonnet-5
Spanish HIV/AIDS Research Network,Spanish HIV/AIDS Research Network,0.6,1,low confidence,,mint,claude-sonnet-5
