alias_clean,sponsor_clean,resolves_to,resolves_source,resolves_status,triage,conflict
menarini,Menarini,NA,NA,unknown,would hijack an already-matched raw string,key is a candidate of a matched raw string for: Berlin-Chemie Menarini | Menarini | Menarini Benelux NV/SA | Menarini Benelux SA/NV | Menarini IFR International Division | Menarini International Operation Luxembourg | Menarini Ricerche
merckle,Merckle,NA,NA,unknown,would hijack an already-matched raw string,key is a candidate of a matched raw string for: Merckle | Merckle Recordati
millennium pharmaceuticals,Millennium Pharmaceuticals,Millennium Pharmaceuticals,fuzzy:llm_curated,review,would hijack an already-matched raw string,key is a candidate of a matched raw string for: Millennium Pharmaceuticals | Takeda
mitsubishi tanabe pharma,Mitsubishi Tanabe Pharma,Mitsubishi Tanabe Pharma,fuzzy:llm_reviewed,review,would hijack an already-matched raw string,key is a candidate of a matched raw string for: Mitsubishi Tanabe Pharma | Mitsubishi Tanabe Pharma Corporation / KUREHA CORPORATION | Mitsubishi Tanabe Pharma Corporation MTPC | Mitsubishi Tanabe Pharma Development America
mucos pharma,Mucos Pharma,NA,NA,unknown,would hijack an already-matched raw string,key is a candidate of a matched raw string for: Mucos Pharma | MUCOS Pharma CZ s.r.o.
mylan,Mylan,NA,NA,unknown,would hijack an already-matched raw string,key is a candidate of a matched raw string for: Mylan | Mylan Pharma UK
myovant sciences,Myovant Sciences,Myovant Sciences,fuzzy:llm_reviewed,review,would hijack an already-matched raw string,key is a candidate of a matched raw string for: Myovant Sciences | Myovant Sciences GmbH c/o Vischer AG
national institute of allergy and infectious diseases niaid,National Institute of Allergy and Infectious Diseases (NIAID),NIAID,llm_reviewed,accepted,would hijack an already-matched raw string,key is a candidate of a matched raw string for: National Institute of Allergy and Infectious Diseases (NIAID) | NIAID
noema pharma,Noema Pharma,Noema Pharma,fuzzy:llm_reviewed,review,would hijack an already-matched raw string,key is a candidate of a matched raw string for: Noema Pharma | Noema Pharma Australia Pty
norgine,Norgine,NA,NA,unknown,would hijack an already-matched raw string,key is a candidate of a matched raw string for: Norgine | Norgine Pharma
octapharma,Octapharma,Octapharma,fuzzy:llm_reviewed,review,would hijack an already-matched raw string,"key is a candidate of a matched raw string for: Octapharma | Octapharma Pharmazeutika Prod.Ges.m.b.H | Octapharma Pharmazeutika Produktionsges.m.b.H, Oberlaaer Strasse 235, A-1100 Vienna, Austria | Octapharma Pharmazeutika Produktionsges.m.b.H. | Octapharma Pharmazeutika Produktionsgesellschaft mbH"
oculis,Oculis,NA,NA,unknown,would hijack an already-matched raw string,key is a candidate of a matched raw string for: Oculis | Oculis ehf.
orion,Orion,NA,NA,unknown,would hijack an already-matched raw string,key is a candidate of a matched raw string for: Orion | Orion Pharma
oxthera,OxThera,NA,NA,unknown,would hijack an already-matched raw string,key is a candidate of a matched raw string for: OxThera | OxThera Intellectual Property
paion,Paion,NA,NA,unknown,would hijack an already-matched raw string,key is a candidate of a matched raw string for: Paion | Paion Pharma | PAION UK Ltd / Acacia Pharma
pantarhei bioscience,Pantarhei Bioscience,Pantarhei Bioscience,fuzzy:llm_reviewed,review,would hijack an already-matched raw string,key is a candidate of a matched raw string for: Pantarhei Bioscience | Pantarhei Bioscience BV / S.A. Odyssea Pharma
pari,PARI,NA,NA,unknown,would hijack an already-matched raw string,key is a candidate of a matched raw string for: PARI | PARIPharma
pep-tonic medical,PeP-Tonic Medical,Peptonic Medical,fuzzy:llm_reviewed,review,would hijack an already-matched raw string,key is a candidate of a matched raw string for: Peptonic Medical
peptcell,PepTcell,NA,NA,unknown,would hijack an already-matched raw string,key is a candidate of a matched raw string for: PepTcell | PepTcell Limited trading as SEEK
pharmamar,PharmaMar,PharmaMar,fuzzy:llm_reviewed,review,would hijack an already-matched raw string,"key is a candidate of a matched raw string for: PharmaMar | PharmaMar S.A., Sociedad Unipersonal"
protalix,Protalix,NA,NA,unknown,would hijack an already-matched raw string,key is a candidate of a matched raw string for: Protalix | Protalix BioTherapeutics
proveca,Proveca,NA,NA,unknown,would hijack an already-matched raw string,key is a candidate of a matched raw string for: Proveca | Proveca Pharma
ratiopharm,ratiopharm,ratiopharm,fuzzy:llm_reviewed,review,would hijack an already-matched raw string,key is a candidate of a matched raw string for: ratiopharm | Teva
razor genomics,Razor Genomics,Razor Genomics,fuzzy:llm_reviewed,review,would hijack an already-matched raw string,key is a candidate of a matched raw string for: Razor Genomics / Intergroupe Francophone de Cancérologie Thoracique
region vasterbotten,Region Västerbotten,Region Västerbotten,fuzzy:llm_reviewed,review,would hijack an already-matched raw string,key is a candidate of a matched raw string for: Region Västerbotten / Umea University
regional hospital holstebro,Regional Hospital Holstebro,NA,NA,unknown,would hijack an already-matched raw string,key is a candidate of a matched raw string for: Regional Hospital Holstebro | Regionshospitalet Holstebro
sankyo pharma,Sankyo Pharma,NA,NA,unknown,would hijack an already-matched raw string,key is a candidate of a matched raw string for: Daiichi Sankyo | Sankyo Pharma
sanofi pasteur msd,Sanofi Pasteur MSD,Sanofi,llm_curated,accepted,would hijack an already-matched raw string,key is a candidate of a matched raw string for: Sanofi
sciclone pharmaceuticals,SciClone Pharmaceuticals,SciClone Pharmaceuticals,fuzzy:llm_reviewed,review,would hijack an already-matched raw string,key is a candidate of a matched raw string for: SciClone Pharmaceuticals | Sciclone Pharmaceuticals International (SG) Pte. | Sciclone Pharmaceuticals Italy
sepracor,Sepracor,NA,NA,unknown,would hijack an already-matched raw string,key is a candidate of a matched raw string for: Sepracor | Sepracor NV in care of Sepracor
sla pharma uk,SLA Pharma UK,SLA Pharma UK,fuzzy:llm_reviewed,review,would hijack an already-matched raw string,key is a candidate of a matched raw string for: SLA Pharma UK | SLA Pharma UK Ltd / KD Swiss
sucampo,Sucampo,NA,NA,unknown,would hijack an already-matched raw string,key is a candidate of a matched raw string for: Sucampo | Sucampo Pharma Americas | Sucampo Pharma Europe
summit,Summit,NA,NA,unknown,would hijack an already-matched raw string,key is a candidate of a matched raw string for: Summit | Summit Cambridge | Summit Oxford
synektik,Synektik,NA,NA,unknown,would hijack an already-matched raw string,key is a candidate of a matched raw string for: Synektik | Synektik Spka Akcyjna
synthon,Synthon,NA,NA,unknown,would hijack an already-matched raw string,key is a candidate of a matched raw string for: Synthon | Synthon Chile LTDA.
tetec,TETEC,NA,NA,unknown,would hijack an already-matched raw string,key is a candidate of a matched raw string for: TETEC | TETEC Tissue Engineering Technologies
theracos,Theracos,NA,NA,unknown,would hijack an already-matched raw string,key is a candidate of a matched raw string for: Theracos | Theracos Sub
topotarget,Topotarget,NA,NA,unknown,would hijack an already-matched raw string,key is a candidate of a matched raw string for: Topotarget | TopoTarget Germany
uni-pharma,UNI-PHARMA,UNI-PHARMA,fuzzy:llm_reviewed,review,would hijack an already-matched raw string,key is a candidate of a matched raw string for: UNI-PHARMA | Uni-Pharma Kleon Tsetis Pharmaceutical Laboratories
univar,Univar,NA,NA,unknown,would hijack an already-matched raw string,key is a candidate of a matched raw string for: Univar | Univar Solutions
universite de liege,Université de Liège,Université de Liège,final_family_map,accepted,would hijack an already-matched raw string,key is a candidate of a matched raw string for: Centre Hospitalier Universitaire de Liège
universittsklinik fr innere medizin iii klinische,Universittsklinik Fr Innere Medizin Iii Klinische,Universitaetsklinikum Ulm AöR,fuzzy:llm_reviewed,review,would hijack an already-matched raw string,key is a candidate of a matched raw string for: Medical University Of Vienna
university college london hospitals nhs foundation trust,University College London Hospitals NHS Foundation Trust,University College London,llm_curated,accepted,would hijack an already-matched raw string,key is a candidate of a matched raw string for: University College London
university medical center groningen umcg,University Medical Center Groningen (UMCG),NA,negative_aliases,rejected,would hijack an already-matched raw string,key is a candidate of a matched raw string for: University Medical Center Groningen
university of athens,University of Athens,University of Aachen,fuzzy:llm_reviewed,review,would hijack an already-matched raw string,key is a candidate of a matched raw string for: National and Capodistrian University of Athens | University of Athens
university of szeged,University of Szeged,University of Pécs,fuzzy:llm_reviewed,review,would hijack an already-matched raw string,"key is a candidate of a matched raw string for: University of Szeged | University of Szeged, Medical and Pharmaceutical Center, Department of Ophthalmology / Semmelweis University Department of Ophthalmology / Cholnoky F. County Hospital Veszprm Department of Ophthalmology"
viatris,Viatris,NA,NA,unknown,would hijack an already-matched raw string,key is a candidate of a matched raw string for: Viatris | Viatris Innovation
vifor fresenius medical care renal pharma,Vifor Fresenius Medical Care Renal Pharma,Vifor Fresenius Medical Care Renal Pharma,fuzzy:llm_reviewed,review,would hijack an already-matched raw string,key is a candidate of a matched raw string for: OM PHARMA | Vifor Fresenius Medical Care Renal Pharma
wave life sciences,Wave Life Sciences,Wave Life Sciences,fuzzy:llm_reviewed,review,would hijack an already-matched raw string,key is a candidate of a matched raw string for: Wave Life Sciences | Wave Life Sciences Ireland
westdeutsche studiengruppe,Westdeutsche Studiengruppe,Westdeutsche Studiengruppe,fuzzy:llm_reviewed,review,would hijack an already-matched raw string,key is a candidate of a matched raw string for: Westdeutsche Studiengruppe | Westdeutsche Studiengruppe GmbH WSG
yamanouchi europe,Yamanouchi Europe,Yamanouchi Europe,fuzzy:llm_reviewed,review,would hijack an already-matched raw string,key is a candidate of a matched raw string for: Astellas Pharma | Yamanouchi Europe
zai lab,Zai Lab,NA,NA,unknown,would hijack an already-matched raw string,key is a candidate of a matched raw string for: Zai Lab | Zai Lab (Shanghai) Co.
zambon,Zambon,NA,NA,unknown,would hijack an already-matched raw string,key is a candidate of a matched raw string for: Zambon | Zambon Biotech | ZAMBON ITALIA
